persona,source_type,tier,title,org,author,date,url,summary,excerpt,priority_axis,stance_signal,collector,verified,note
한전,언론기사,t3,[단독] 데이터센터 러시에 전력수요 전망치 상향 추진,한국경제,,2026-06-25,https://www.hankyung.com/article/2026062586031,AI 데이터센터 급증(1GW급당 연 6~7TWh 소요)으로 정부가 2040년 전력수요 목표를 700TWh 이상으로 상향 검토. 기저전원 확보와 계통 투자 부담 논쟁이 부각돼 한전의 투자·요금 압력이 커진다.,기후에너지환경부는 12차 전력수급기본계획 수립을 위한 전력 수요 전망치를 기존 잠정안인 657.6~694.1테라와트시(TWh)에서 700TWh 이상으로 끌어올리는 방안을 고민하는 것으로 알려졌다.,수요·실적 전망,우려,자동수집(Claude),Y,
한전,보고서,t1,"AI 전력 인프라가 주목받는 이유, 데이터센터 전력 수요가 바꾼 시장",KB자산운용(KB Think),KB Think,2026-06-02,https://kbthink.com/investment/issues/ai-power-infrastructure-data-centers.html,GW급 AI 데이터센터로 전력수요가 급증하나 송전망 연결 지연·변압기 납기 2~3배 확대 등 공급 인프라 병목이 구조적 제약이라고 리서치 관점에서 분석.,"AI라고 하면 보통 엔비디아 GPU나 메모리 반도체를 먼저 떠올리지만, 실제로는 그 칩을 돌릴 전기가 부족한 상황이 발생하고 있는 거예요.",계통투자 재원,우려,자동수집(Claude),Y,
한전,언론기사,t3,"""표준 공기보다 4년 앞당긴다""… 한전, 서해안 HVDC '속도전' 한창",전기신문,김재오 한국전력공사 중부건설본부장,2026-05-18,https://www.electimes.com/news/articleView.html?idxno=368030,"서해안 HVDC 에너지고속도로 1단계(새만금~서화성)를 설계·인허가·시공 병렬 추진으로 표준 공기보다 4년 단축하고, 국민성장펀드가 참여하는 SPC 방식으로 대규모 투자재원을 조달.",표준 사업 기간 대비 4년 단축을 목표로 공정 혁신을 추진하겠다,계통투자 재원,우호,자동수집(Claude),Y,
한전,보도자료,t2,[보도자료] 한전채 위기 반복되는 이유…화석발전 고수익 보전하는 전력시장 구조,기후솔루션(SFOC),기후솔루션,2026-05-12,https://forourclimate.org/ko/newsroom/1210,2022년 한시 상향된 사채발행한도(자본금·적립금의 5배)가 2027년 말 일몰되면 2028년 한도 초과 위험이 재점화. 2021~2025년 누적 36조 손실의 근본 원인을 화석연료 중심 전력시장 구조로 진단.,동해안 민간석탄발전소들은 송전제약 등으로 2025년 이용률이 30%대까지 떨어졌음에도 총괄원가 제도에 기반해 20%를 초과하는 영업이익률을 기록했다.,사채발행한도,우려,자동수집(Claude),Y,
한전,언론기사,t3,"한전 부채 205조…""전력망 확충없인 재생에너지 보급 한계""",뉴스트리,임재민 에너지전환포럼 사무처장,2026-04-30,https://www.newstree.kr/newsView/ntr202604300015,부채 205.7조·하루 이자 119억원 상황에서 억제된 요금이 송배전망 투자 지연으로 이어질 수 있다는 지적. 재생에너지 100GW 달성을 위한 요금체계 개편·전력망 수용능력 강화 필요성을 제기.,"2025년 한전 부채는 205조7000억원으로, 하루 이자만 119억원에 달한다",계통투자 재원,우려,자동수집(Claude),Y,
한전,보도자료,t2,낮엔 낮추고 저녁은 높인다… 계절·시간대별 전기요금 개편안 시행,기후에너지환경부(정책브리핑),이원주 기후에너지환경부 에너지전환정책실장,2026-04-16,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156755866,평일 낮(11~15시) 요금을 인하하고 저녁(18~21시)을 인상하는 계시별 요금제를 4월 16일 시행. 산업용(을)·전기차 충전에 우선 적용하며 일부 사업장은 9월까지 유예.,금번 개편안은 전력 소비의 절반 가까이를 차지하는 산업용(을) 부문과 수요 조정이 상대적으로 용이한 전기자동차 충전 전력에 우선 적용됩니다.,요금 정상화,중립,자동수집(Claude),Y,
한전,언론기사,t3,한전 역대 흑자에도 부채 급증…2028년 '사채 절벽' 온다,리드경제,유찬형,2026-04-14,https://www.leadeconomy.co.kr/news/articleView.html?idxno=7108,2025년 창사 이래 최대 영업이익 13.5조원에도 총부채 205.7조원으로 역대 최대. 2027년 말 채권발행한도 특례 일몰로 발행한도가 90조→36조원으로 급감하는 자금조달 위험을 경고.,역대 최대 흑자를 낸 한국전력이 정작 재무 위기의 입구에 서 있다.,사채발행한도,우려,자동수집(Claude),Y,
한전,언론기사,t3,"'낮엔 반값, 밤엔 할증'…계시별 요금제 개편, 전기요금 시간표 바꾼다",광주일보,장윤영,2026-04-14,https://v.daum.net/v/20260414180605385,한전이 16일부터 계시별 요금제 개편을 시행해 봄·가을 주말 낮 전력량요금을 50% 인하하고 저녁·밤은 인상. 산업용(을) 우선 적용 후 6월부터 일반용 등으로 확대.,"한국전력공사(한전)가 정부 방침에 따라 낮 시간대 전력량요금을 최대 50% 낮추고, 밤에는 높이는 '계시별 요금제'를 본격 시행한다.",요금 정상화,중립,자동수집(Claude),Y,
한전,언론기사,t3,"""전력감독체계 필요성 커진다""…전력감독원 신설에 속도",전기신문,김부미,2026-04-13,https://www.electimes.com/news/articleView.html?idxno=366983,기후에너지환경부가 재생에너지 확산·전력망 복잡성에 대응해 독립·중립적 전력감독원 신설을 추진. 전력망 감독과 전력시장 감시 기능을 법률에 명문화하는 전기사업법 개정안이 다수 발의.,"재생에너지의 확산과 전력망 참여 주체의 폭발적인 증가는 운영의 기술적 복잡성을 높이는 동시에, 보다 전문적이고 실효성 있는 감독체계의 필요성을 증대시키고 있다.",재생에너지·시장구조,중립,자동수집(Claude),Y,
한전,언론기사,t3,"""독립·전문적인 전력감독원 설립해야"" 한 목소리",투데이에너지,Dermot Nolan(전 영국 Ofgem CEO),2026-03-27,https://www.todayenergy.kr/news/articleView.html?idxno=295816,"대한전기협회 국제포럼에서 영국 Ofgem 전 CEO 등이 한국형 독립 전력감독원의 필요성을 강조. 현 전기위원회 인력(9명)이 미국 FERC(약 1,500명)·영국 Ofgem(약 1,900명)에 비해 크게 부족함을 지적.",감독·조사 등의 업무를 수행할 독립적이고 전문적인 한국형 Ofgem인 전력감독원이 필요하다,재생에너지·시장구조,중립,자동수집(Claude),Y,
