persona,source_type,tier,title,org,author,date,url,summary,excerpt,priority_axis,stance_signal,collector,verified,note
가스공사,보도자료,t2,"가스공사, 재무구조 개선·해외투자비 회수로 미수금 이중고 극복",한국가스공사,,2026-06-14,https://www.kogas.or.kr/site/koGas/bbs/View.do?cbIdx=41&boardIdx=45539&Key=1010202000000,"2022년 말 500%였던 부채비율을 2025년 말 397%로 낮추고, 2024년 말 14조 원까지 늘었던 미수금을 저가 신규 LNG 계약·재협상과 경비 절감으로 13조3700억 원 수준까지 축소했다고 밝힘. 최근 3년간 해외 자원사업에서 약 3조 원을 회수했고 2030년까지 5조 원 이상 추가 회수를 목표로 제시.",최근 3년간 해외 사업에서 약 3조원의 투자금을 회수했다.,재무 건전성·미수금 해소(요금 정상화),우호,미지정,Y,KOGAS 공식 보도자료. 정확한 게시일·제목·excerpt 원문 대조 필요.
가스공사,언론기사,t3,"가스공사, 미수금·에너지 위기 이중고 넘는다… '수급안정·신성장·주주가치' 본격화",에너지데일리,최연혜(발언),2026-06-14,https://www.energydaily.co.kr/news/articleView.html?idxno=200387,"가스공사가 미수금 누적·에너지 위기라는 이중고 속에서 수급안정·신성장·주주가치를 3대 방향으로 위기 극복을 본격화한다고 밝힘. 부채비율 500%→397%, 해외투자 약 3조 원 회수, 중동산 의존도 45%→24% 등 성과를 제시.",공사는 천연가스의 안정적 공급과 주주가치 제고라는 책임 아래 수급 안정과 미래 성장 기반 마련에 최선을 다해 왔다,재무 건전성·미수금 해소(요금 정상화),우호,미지정,Y,최연혜 사장 발언 인용. excerpt 원문 대조 필요.
가스공사,언론기사,t3,최연혜 가스公 사장 '올해 미수금 14조 이상 전망…매년 이자만 1.7조',뉴시스,최연혜(발언),2024-10-17,https://www.newsis.com/view/NISX20241017_0002923932,"2024년 국정감사에서 최연혜 사장이 연말 미수금이 14조 원을 넘을 것으로 전망하며, 미수금·차입 이자만 연 1조7000억 원(하루 46억 원)에 달해 요금 인상 없이는 구조적 해결이 어렵다고 밝힘. 여름철부터 단계적 요금 인상·연착륙 필요성을 주장.","매년 이자가 1조7000억원이며 하루 이자는 46억원, 미수금에 따른 이자만 12억원",재무 건전성·미수금 해소(요금 정상화),우려,미지정,Y,발행일 URL(NISX20241017) 기준 2024-10-17. excerpt 원문 대조 필요.
가스공사,언론기사,t3,최연혜 가스공사 사장 '미수금 단독 해결 못해…정부와 협의 필요',투데이에너지,최연혜(발언),2024-10-17,https://www.todayenergy.kr/news/articleView.html?idxno=275591,최연혜 사장이 국정감사에서 15조 원대 미수금과 25조5000억 원 회사채 문제는 '단독 해결 불가'이며 정부와 협의 중이라고 답변. 미수금은 러시아·우크라이나 전쟁으로 가스가격이 200% 급등한 데 기인하고 요금을 통해 회수하는 구조임을 설명.,자구 노력을 통해서도 상당 부분 노력하고 있지만 미수금이라는 것이 잘 아시다시피 러시아 우크라이나 전쟁 당시 가스 가격이 200% 상승해 일어났다,재무 건전성·미수금 해소(요금 정상화),우려,미지정,Y,2024 국정감사 발언. excerpt 원문 대조 필요.
가스공사,기고,t1,[기자칼럼] 가스공사 미수금의 굴레,가스신문,유재준,2023-01-05,https://www.gasnews.com/news/articleView.html?idxno=108483,"한전·가스공사의 적자 누적으로 전기·가스요금 인상이 불가피하며, 누적 미수금 회수와 추가 발생 방지를 위해 왜곡된 요금체계를 바로잡는 요금 현실화 정책이 필요하다고 주장한 칼럼.",누적 미수금 회수 및 추가 미수금 발생방지를 위해 왜곡된 요금체계를 바로잡는 요금 현실화 정책이 필요하다.,재무 건전성·미수금 해소(요금 정상화),우려,미지정,Y,기자칼럼(기고). 발행일 2023-01-05. excerpt 원문 대조 필요.
가스공사,보도자료,t2,"가스공사, 연 70만톤 LNG 추가 도입…수급 안정 강화",한국가스공사,,2026-05-22,https://www.newspim.com/news/view/20260522000441,가스공사가 BP와 장기계약을 체결해 2028년부터 10년간 연 70만 톤 LNG를 추가 도입한다고 발표. 2025년 미국산 330만 톤 계약에 이은 물량으로 공급원 다변화와 에너지 안보·가격 경쟁력 강화를 목표로 함.,가스공사는 이번 계약을 통해 2028년부터 10년간 연간 70만t 규모의 LNG를 추가 도입한다고 밝혔다.,LNG 수급 안정·에너지 안보,우호,미지정,Y,"가스공사 발표(2026-05-22), 뉴스핌 보도. excerpt 원문 대조 필요."
가스공사,언론기사,t3,[이슈분석] 미국산 LNG 330만톤 추가 수입…가스산업 판도 변화 불러오나,에너지경제,,2025-09-01,https://edata.ekn.kr/article/view/ekn202509010006,"2025년 8월 25일(현지) 워싱턴에서 미국산 LNG를 2028년부터 약 10년간 연 330만 톤 도입하는 계약을 체결(트라피구라 등). 목적지 제한·재판매 금지가 없는 유연 물량으로, 중동산 의존도를 2022년 45%에서 2025년 24%로 낮추는 다변화 전략의 핵심으로 평가.",미국산 LNG 330만톤 추가 수입…가스산업 판도 변화 불러오나,LNG 수급 안정·에너지 안보,우호,미지정,Y,"제목으로 대체 표기 — 본문 직접 인용문 원문에서 추출·교체 필요. 계약 체결일 2025-08-25, 기사 2025-09-01."
가스공사,언론기사,t3,"[2025 국감자료] 가스공사 DES 계약 편중, 에너지 안보 '적신호'",투데이에너지,,2025-10-20,https://www.todayenergy.kr/news/articleView.html?idxno=289971,"2025년 국정감사에서 가스공사의 LNG 도입이 착선인도(DES) 계약에 과도하게 편중돼 2037년 국적선사의 LNG 수송비율이 0%로 추락(2020년 52.8%→2024년 38.2%)하고, 에너지 안보 주권이 외국 선박에 종속될 위험이 있다는 지적이 제기됨.",가스공사의 DES 계약 편중으로 인해 2037년에는 국적선사의 LNG 수송 비율이 '0%'로 추락할 전망,LNG 수급 안정·에너지 안보,우려,미지정,Y,가스공사에 대한 국정감사 지적(외부 비판 관점). 2025-10-20. excerpt 원문 대조 필요.
가스공사,언론기사,t3,로키산맥 넘고 태평양 건너 온 캐나다 LNG '새 에너지 공급망',한국일보,,2026-06-05,https://www.hankookilbo.com/news/article/A2026060516550001180,2026년 6월 3일 캐나다산 LNG가 인천기지에 첫 입항하며 수도권 북미 공급망을 확보. 키티맷~한국 12~14일로 카타르(호르무즈)·미국(파나마) 경로보다 짧아 지정학적 리스크 없이 공급 안정성과 경제성을 동시에 확보했다고 평가.,"지정학적 리스크가 없고, 수송 시간과 비용도 경제적",LNG 수급 안정·에너지 안보,우호,미지정,Y,발행일 2026-06-05. excerpt 원문 대조 필요.
가스공사,보고서,t1,2024 한국가스공사 지속가능경영보고서,한국가스공사,,2024-09-09,https://kind.krx.co.kr/external/2024/09/09/000186/20240909000509/2024%20KOGAS%20지속가능경영보고서.pdf,"가스공사가 2006년부터 매년 발간하는 지속가능경영보고서. 2024년판은 2022~2024년 성과를 담아 2045년 탄소중립(Net Zero) 목표, 천연가스 수급안정·자원안보, 수소 등 신사업 전략과 ESG 성과를 공시.",보고서 본문 직접 인용 미확인 — PDF에서 핵심 인용문 추출 필요,LNG 수급 안정·에너지 안보,우호,미지정,Y,KRX 전자공시 게재 PDF. summary는 개요이며 보고서 원문 인용문 보강 필요. 2045 Net Zero는 축3(수소 전환)도 뒷받침.
