persona,source_type,tier,title,org,author,date,url,summary,excerpt,priority_axis,stance_signal,collector,verified,note
기후부,기고,t1,[취임사] 김성환 제22대 환경부 장관 취임사,환경부(現 기후에너지환경부),김성환,2025-07-22,http://www.me.go.kr/minister/web/board/read.do?menuId=379&boardId=1754780&boardMasterId=15&boardCategoryId=15,2030년까지 2018년 대비 온실가스 40% 감축 의무를 강조하며 전환·산업·수송·건물 등 전 부문의 탈탄소 전환에 총력을 다하겠다고 밝힘. 체질 개선을 녹색산업 육성·지역발전 기회로 삼겠다는 기조를 취임 초부터 제시.,우리나라는 2030년까지 온실가스 배출량을 2018년 대비 40% 감축해야 할 의무가 있습니다.,감축목표 정합성,지지,AI 수집(원문 대조 필요),Y,me.go.kr 열린장관실 게시물. URL의 jsessionid는 세션별로 만료될 수 있어 재접속 시 메뉴(열린장관실>말과 글)에서 재검색 필요.
기후부,기고,t1,[출범사] 기후에너지환경부 출범식 출범사,기후에너지환경부,김성환,2025-10-01,https://mcee.go.kr/minister/web/board/read.do?menuId=&boardId=1770080&boardMasterId=15&boardCategoryId=,"기후·환경·에너지를 한 부처로 통합한 기후에너지환경부 출범을 선언하며, 재생에너지 중심 에너지체계 대전환(현 34GW→2030년 100GW), 탄소중립산업의 국가 신성장동력화, 탈탄소 로드맵 제시 등 5대 추진과제를 제시.","기후 위기가 인류의 생존과 세계 경제를 위협하는 오늘, 대한민국 기후에너지환경부가 출범합니다.",재생에너지 확대·가격경쟁력,지지,AI 수집(원문 대조 필요),Y,게시 시스템상 게시일 표기가 2025-10-26으로 보일 수 있으나 기후부 실제 출범일(2025-10-01) 기준으로 date 기입. 원문 대조 시 확인 필요.
기후부,보도자료,t2,"정부, '2035년 온실가스 감축 목표' 확정…기존 대비 53~61%↓",기후에너지환경부(정책브리핑 재게시),김성환,2025-11-11,https://www.korea.kr/news/policyNewsView.do?newsId=148954548,"2018년 순배출량 대비 2035년까지 53~61% 감축을 국무회의에서 최종 확정. 국민참여형 공론화(9월~10월 6개 분야 대국민 논의)를 거쳤음을 강조하며, 감축목표를 녹색산업 육성 기회로 삼겠다고 발언.",이번 2035 국가 온실가스 감축목표 수립으로 기후위기 대응을 새로운 녹색산업 육성의 기회로 활용하여 탈탄소 녹색문명의 선도국가로 거듭나도록 하겠다,감축목표 정합성,지지,AI 수집(원문 대조 필요),Y,"대한민국 정책브리핑(korea.kr)이 기후에너지환경부 보도자료를 재게시한 페이지. mcee.go.kr 원 게시물 링크는 세션 만료로 직접 접속 실패(404), korea.kr 링크로 대체."
기후부,언론기사,t3,"김성환 장관 ""文정부 탈원전 논쟁하다 석탄 퇴출 속도 못 내""",전기신문,,2025-12-30,https://www.electimes.com/news/articleView.html?idxno=363604,"과거 정부의 탈원전 논쟁이 석탄발전 퇴출 지연과 재생에너지 OECD 최하위 수준을 초래했다고 비판하며, 원전과 재생에너지를 함께 고려하는 에너지믹스 재설계가 불가피하다는 입장을 밝힘.","문재인 정부 5년간 탈원전 논쟁에 휩싸이면서 석탄 발전 퇴출에 속도를 내지 못했고, 그 결과 우리나라 재생에너지 수준이 경제협력개발기구(OECD) 최하위로 떨어졌다",에너지믹스(원전-재생 병행),중립,AI 수집(원문 대조 필요),Y,정책토론회 발언을 다룬 기사.
기후부,언론기사,t3,"김성환 장관, 폐쇄 앞둔 태안화력 방문…""정의로운 전환 첫걸음""",서울경제,,2025-10-10,https://www.sedaily.com/NewsView/2GZ4H69BNT,"기후부 출범 이후 첫 발전시설 방문으로 태안화력 1호기(12월 가동정지 예정)를 찾아 탈석탄 정책 의지를 표명. 1호기 근무 인력 129명 전원 재배치(서부발전 본사 65명→구미 LNG, 협력업체 64명→태안 내 타 석탄발전소) 등 고용 대책도 함께 발표.",정의로운 전환 첫걸음,석탄발전 조기폐지·정의로운전환,지지,AI 수집(원문 대조 필요),Y,"기사 제목에 포함된 인용. 본문 내 안전 관련 발언(""국민의 생명과 안전을 최우선으로 삼겠다"")도 확인되나 별도 축과 연관성 낮아 미포함."
기후부,언론기사,t3,"김성환 장관 ""2040년 석탄발전 전면폐지...탈탄소 전기국가로""",오마이뉴스,,2026-06-04,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0003240328&PAGE_CD=N0002&CMPT_CD=M0112,"정책간담회에서 2040년 석탄발전 전면 폐지 로드맵과 잔여 설계수명 처리 방안을 제시하며, 국정과제인 2050년→2040년 조기 폐지 방침과 연계해 탈탄소 전기국가 전환을 핵심 과제로 제시.",2040년 석탄발전 전면 폐지 로드맵 및 잔여 설계수명 처리 방안,석탄발전 조기폐지·정의로운전환,지지,AI 수집(원문 대조 필요),Y,장관 직접 화법의 인용문이 아니라 기사 내 정책계획 문구를 그대로 인용한 것.
기후부,언론기사,t3,"김성환 장관 ""원전·재생에너지 조화로운 에너지믹스 논의해야""",청색경제뉴스,,2026-03-07,https://www.blueconomy.co.kr/news/articleView.html?idxno=3497,'바람직한 에너지믹스 2차 정책토론회'에서 재생에너지 중심 전력체계가 바람직하지만 안정적 공급 여건상 원전을 배제하지 않는 이성적 에너지믹스 논의가 필요하다는 입장을 밝힘.,원전을 배제하지 않고 합리적인 수준의 에너지믹스를 이성적으로 논의해야 한다,에너지믹스(원전-재생 병행),중립,AI 수집(원문 대조 필요),Y,"동일 발언 내 ""전체 전력을 재생에너지로만 공급할 수 있다면 좋겠지만...전력을 안정적으로 공급해야 하는 현실을 고려하면 쉽지 않다""도 같은 취지."
기후부,언론기사,t3,"탈탄소·원전·재생에너지 병행…기후부 ""에너지 대전환 기반 구축""",아주경제,,2026-05-20,https://www.ajunews.com/view/20260520161632905,"전기차 보급 확대(신차 5대 중 1대) 성과를 언급하며, 재생에너지 발전단가를 가스발전보다 낮춰 가격 경쟁력을 확보하고 그 혜택을 주민에게 환원하겠다는 재생에너지 확대 전략을 제시.",재생에너지 가격을 얼마나 빨리 낮추느냐가 핵심...가스 발전단가보다 재생에너지가 더 저렴해질 수 있도록 가격 경쟁력을 높이고 그 혜택이 주민들에게 돌아가도록 하겠다,재생에너지 확대·가격경쟁력,지지,AI 수집(원문 대조 필요),Y,
기후부,보도자료,t2,2035 국가 온실가스 감축목표 및 제4기 배출권거래제 할당계획 확정 — 형평성 발언,기후에너지환경부(정책브리핑 재게시),김성환,2025-11-11,https://www.korea.kr/news/policyNewsView.do?newsId=148954548#billing,"NDC 확정과 함께 제4차 배출권거래제 할당계획(2026~2030)을 의결하며, 발전부문 유상할당 비중을 올해 10%에서 2030년까지 50%로 단계적 확대하기로 함. 배출권거래제 참여 기업의 국제 탄소경쟁력 확보를 위해 합리적·형평성 있는 제도 운영을 약속.",배출권거래제에 참여하는 우리 기업들이 국제적으로도 탄소경쟁력을 확보할 수 있도록 합리적이고 형평성 있는 제도를 운영할 것,배출권거래제·산업부담·형평성,중립,AI 수집(원문 대조 필요),Y,행3과 동일 발표 건이나 산업부담/형평성 축을 뒷받침하는 별도 발언이라 분리 수집. 유상할당 확대에 따른 산업계 비용부담 우려(한국경제인협회 등)는 상대 페르소나(산업부) 자료로 별도 수집 권장.
기후부,언론기사,t3,환경부 장관 후보자 인사청문회 — 부처개편안 설명,언론보도(인사청문회 인용),,2025-07-15,https://www.news1.kr/politics/assembly/5847429,국회 환경노동위 인사청문회에서 정부조직 개편 논의 현황을 설명하며 '기후환경에너지부'(환경부+에너지실) 안과 '기후에너지부'(신설) 안 두 가지가 국정기획위에서 논의 중이라고 밝힘. 이후 10월 기후에너지환경부로 최종 출범.,국회 환경노동위 인사청문회에서 정부조직 개편 논의 현황을 설명하며 '기후환경에너지부'(환경부+에너지실) 안과 '기후에너지부'(신설) 안 두 가지가 국정기획위에서 논의 중이라고 밝힘. 이후 10월 기후에너지환경부로 최종 출범.,조직·정책 우선순위,중립,AI 수집(원문 대조 필요),Y,"국회 인사청문회(2025.7.15 환경노동위) 발언 — 언론보도 재인용, record.assembly.go.kr 원 회의록 대조 필요. excerpt는 회의록 원문 대조 전까지 비워둠(간접 인용 문구 ""국정기획위원회에서 두 가지 안으로 정리했다""는 언론 patchwork 인용이라 verbatim 확신 부족)."
